"","tract_name","pop_total","pop_total_25plus","median_household_income","pop_white","pop_black","pop_amerindian","pop_asian","pop_nativehawaii","pop_otherrace","pop_tworaces","pop_hispanic","mhinc_2544ages","mhinc_4465ages","fips_state_code","fips_county_code","tract","mhinc","pct_popam","pct_popas","pct_pophi","pct_popbl","pct_popwh","pct_pophp","pct_poptr","pct_popothr","pocrace","race_brks_nonwhiteasian","inc_brks"
"1","Census Tract 28.06, Santa Barbara County, California",2430,1556,63259,1264,86,0,23,0,0,101,956,91250,50417,6,83,"002806",141667,0,0.9,39.3,3.5,52,0,4.2,0,42.8,"40-59%","$100-149k"
"2","Census Tract 29.13, Santa Barbara County, California",3869,2752,91106,3188,16,0,140,0,0,16,509,136635,126827,6,83,"002913",263462,0,3.6,13.2,0.4,82.4,0,0.4,0,13.6,"0-19%","$200k+"
"3","Census Tract 29.14, Santa Barbara County, California",3386,2436,93125,2096,4,49,435,0,0,61,741,103625,105714,6,83,"002914",209339,1.4,12.8,21.9,0.1,61.9,0,1.8,0,23.4,"20-39%","$200k+"
"4","Census Tract 4, Santa Barbara County, California",5411,4019,74795,3907,0,0,380,23,0,184,917,72232,109056,6,83,"000400",181288,0,7,16.9,0,72.2,0.4,3.4,0,16.9,"0-19%","$150-199k"
"5","Census Tract 12.03, Santa Barbara County, California",3029,2236,59135,2252,9,0,202,0,0,17,549,126944,80139,6,83,"001203",207083,0,6.7,18.1,0.3,74.3,0,0.6,0,18.4,"0-19%","$200k+"
"6","Census Tract 18, Santa Barbara County, California",941,632,50208,471,6,4,5,0,0,18,437,59167,44844,6,83,"001800",104011,0.4,0.5,46.4,0.6,50.1,0,1.9,0,47.4,"40-59%","$100-149k"
"7","Census Tract 19.05, Santa Barbara County, California",2595,2089,95536,2019,13,0,22,42,0,31,468,99417,102037,6,83,"001905",201454,0,0.8,18,0.5,77.8,1.6,1.2,0,18.5,"0-19%","$200k+"
"8","Census Tract 20.12, Santa Barbara County, California",3235,2246,89107,2431,5,0,187,0,0,144,468,87993,110160,6,83,"002012",198153,0,5.8,14.5,0.2,75.1,0,4.5,0,14.7,"0-19%","$150-199k"
"9","Census Tract 27.08, Santa Barbara County, California",2297,1673,50556,1438,28,12,51,0,0,135,633,57500,61346,6,83,"002708",118846,0.5,2.2,27.6,1.2,62.6,0,5.9,0,29.3,"20-39%","$100-149k"
"10","Census Tract 29.07, Santa Barbara County, California",4176,2978,128281,2897,6,0,460,0,7,158,648,91779,163750,6,83,"002907",255529,0,11,15.5,0.1,69.4,0,3.8,0.2,15.6,"0-19%","$200k+"
"11","Census Tract 29.09, Santa Barbara County, California",5994,3854,111767,3197,27,0,354,0,0,186,2230,140192,139531,6,83,"002909",279723,0,5.9,37.2,0.5,53.3,0,3.1,0,37.7,"20-39%","$200k+"
"12","Census Tract 20.08, Santa Barbara County, California",6551,4326,80581,4060,136,0,163,86,0,199,1907,93311,95950,6,83,"002008",189261,0,2.5,29.1,2.1,62,1.3,3,0,31.2,"20-39%","$150-199k"
"13","Census Tract 81.36, Sacramento County, California",2472,1798,53750,1951,22,0,252,8,0,43,196,60938,66042,6,67,"008136",126980,0,10.2,7.9,0.9,78.9,0.3,1.7,0,8.8,"0-19%","$100-149k"
"14","Census Tract 6, Sacramento County, California",1121,876,23618,615,161,0,36,0,0,14,295,43750,16782,6,67,"000600",60532,0,3.2,26.3,14.4,54.9,0,1.2,0,40.7,"40-59%","$50-74k"
"15","Census Tract 7, Sacramento County, California",2547,2150,12426,654,777,20,417,8,37,82,552,80833,12093,6,67,"000700",92926,0.8,16.4,21.7,30.5,25.7,0.3,3.2,1.5,53,"40-59%","$75-99k"
"16","Census Tract 18, Sacramento County, California",4719,3770,56466,2529,545,0,631,12,0,222,780,61591,71094,6,67,"001800",132685,0,13.4,16.5,11.5,53.6,0.3,4.7,0,28,"20-39%","$100-149k"
"17","Census Tract 22, Sacramento County, California",4460,2615,30955,1286,870,0,690,49,0,225,1340,29844,51083,6,67,"002200",80927,0,15.5,30,19.5,28.8,1.1,5,0,49.5,"40-59%","$75-99k"
"18","Census Tract 29, Sacramento County, California",4962,3867,59097,2681,165,0,204,175,0,175,1562,81350,65467,6,67,"002900",146817,0,4.1,31.5,3.3,54,3.5,3.5,0,34.8,"20-39%","$100-149k"
"19","Census Tract 30, Sacramento County, California",7798,4852,62045,2912,1466,0,579,121,0,257,2463,64865,59833,6,67,"003000",124698,0,7.4,31.6,18.8,37.3,1.6,3.3,0,50.4,"40-59%","$100-149k"
"20","Census Tract 39, Sacramento County, California",3450,2604,66691,1480,104,0,661,10,0,306,889,68571,82702,6,67,"003900",151273,0,19.2,25.8,3,42.9,0.3,8.9,0,28.8,"20-39%","$150-199k"
"21","Census Tract 40.12, Sacramento County, California",3361,2441,118125,1265,217,0,958,0,8,248,665,82174,137431,6,67,"004012",219605,0,28.5,19.8,6.5,37.6,0,7.4,0.2,26.3,"20-39%","$200k+"
"22","Census Tract 49.05, Sacramento County, California",7099,4276,42595,1285,1578,0,930,387,0,82,2837,44474,69883,6,67,"004905",114357,0,13.1,40,22.2,18.1,5.5,1.2,0,62.2,"60-79%","$100-149k"
"23","Census Tract 79.04, Sacramento County, California",5399,3852,76789,4269,125,8,84,0,0,315,598,75425,90804,6,67,"007904",166229,0.1,1.6,11.1,2.3,79.1,0,5.8,0,13.5,"0-19%","$150-199k"
"24","Census Tract 81.38, Sacramento County, California",3665,2645,62399,2265,148,18,36,0,0,50,1148,63375,60625,6,67,"008138",124000,0.5,1,31.3,4,61.8,0,1.4,0,35.8,"20-39%","$100-149k"
"25","Census Tract 82.11, Sacramento County, California",2943,2124,87308,2547,7,19,37,0,0,107,226,74811,105909,6,67,"008211",180720,0.6,1.3,7.7,0.2,86.5,0,3.6,0,8.5,"0-19%","$150-199k"
"26","Census Tract 93.09, Sacramento County, California",2304,1690,73606,1675,30,34,76,0,0,159,330,89250,87031,6,67,"009309",176281,1.5,3.3,14.3,1.3,72.7,0,6.9,0,17.1,"0-19%","$150-199k"
