unitid,tuition1,fee1,hrchg1,tuition2,fee2,hrchg2,tuition3,fee3,hrchg3
100654,8379,1478,274,8379,1478,274,16758,1478,548
100663,8328,0,347,8328,0,347,19032,0,793
100690,9000,900,430,9000,900,430,9000,900,430
100706,9356,924,411,9356,924,411,20556,924,908
100724,8328,2740,347,8328,2740,347,16656,2740,694
100751,10780,0,586,10780,0,586,28100,0,1336
100760,3570,870,119,3570,870,119,7140,870,238
100812,5940,750,198,5940,750,198,11880,750,396
100830,7320,700,305,7320,700,305,16440,700,685
100858,9336,1632,389,9336,1632,389,28008,1632,1167
100937,34544,1260,1439,34544,1260,1439,34544,1260,1439
101028,3570,744,119,3570,744,119,7140,744,238
101073,9920,400,415,9920,400,415,9920,400,415
101116,16920,94,559,16920,94,559,16920,94,559
101143,3570,870,119,3570,870,119,7140,870,238
101161,3510,870,117,3510,870,117,7020,870,234
101189,19160,1810,650,19160,1810,650,19160,1810,650
101240,3570,930,119,3570,930,119,7140,930,238
101286,3570,810,119,3570,810,119,7140,810,238
101295,2856,870,119,2856,870,119,5712,870,238
101301,3570,570,119,3570,570,119,7140,570,238
101365,13000,850,570,13000,850,570,13000,850,570
101435,23639,1358,753,23639,1358,753,23639,1358,753
101453,10152,1080,423,10152,1080,423,10152,1080,423
101462,3570,840,119,3570,840,119,7140,840,238
101471,4284,684,119,4284,684,119,4284,684,119
101480,9270,750,309,9270,750,309,18540,750,618
101499,3510,578,117,3510,578,117,7020,578,234
101505,3570,930,119,3570,930,119,7140,930,238
101514,3570,950,119,3570,950,119,7140,950,238
101541,16736,1160,567,16736,1160,567,16736,1160,567
101569,3570,870,119,3570,870,119,7140,870,238
101587,7614,1590,324,7614,1590,324,15228,1590,648
101602,3570,870,119,3570,870,119,7140,870,238
101648,6000,3418,200,6000,3418,200,12000,3418,400
101675,10632,1162,448,10632,1162,448,10632,1162,448
101693,21010,1200,750,21010,1200,750,21010,1200,750
101709,11730,670,391,11730,670,391,24360,670,812
101736,3570,841,119,3570,841,119,7080,841,236
101879,6648,1832,277,6648,1832,277,13296,1832,554
101897,3570,870,119,3570,870,119,7140,870,238
101912,15714,1006,678,15714,1006,678,15714,1006,678
101949,3510,870,117,3510,870,117,7020,870,234
101994,3570,930,119,3570,930,119,7140,930,238
102030,3570,870,119,3570,870,119,7140,870,238
102049,29640,850,991,29640,850,991,29640,850,991
102058,7020,95,260,7020,95,260,7020,95,260
102067,3570,619,119,3570,619,119,7140,619,238
102076,3570,930,119,3570,930,119,7140,930,238
102094,7512,300,313,7512,300,313,15024,300,626
102234,35312,2272,1104,35312,2272,1104,35312,2272,1104
102270,9548,1244,398,9548,1244,398,9548,1244,398
102298,11192,1148,466,11192,1148,466,11192,1148,466
102313,3570,780,119,3570,780,119,7140,780,238
102368,7584,1108,316,7584,1108,316,15168,1108,632
102377,19210,2960,780,19210,2960,780,19210,2960,780
102395,14652,1320,407,14652,1320,407,14652,1320,407
102429,3570,900,119,3570,900,119,7140,900,238
102553,5532,1338,223,5532,1338,223,17664,1830,736
102580,9000,350,375,9000,350,375,9000,350,375
102614,6467,1443,223,6467,1443,223,21344,2038,736
102632,6244,1596,223,6244,1596,223,20608,2128,736
102669,20350,410,848,20350,410,848,20350,410,848
102845,23204,0,.,23204,0,.,23204,0,.
103778,.,.,.,.,.,.,.,.,.
103945,18021,0,.,18021,0,.,18021,0,.
104151,10104,688,702,10104,688,702,26684,688,1112
104160,1968,0,82,1968,0,82,7560,0,315
