UNITID,STAT_IC,LOCK_IC,IMP_IC,STAT_C,LOCK_C,PRCH_C,IDX_C,PCC_F,IMP_C,STAT_E12,LOCK_E12,PRCH_E12,IDX_E12,PCE12_F,IMP_E12,STAT_SFA,LOCK_SFA,PRCH_SFA,IDX_SFA,PCSFA_F,IMP_SFA,SFAFORM,STAT_GR,LOCK_GR,PRCH_GR,IDX_GR,PCGR_F,IMP_GR,COHRTSTU,STAT_GR2,LOCK_GR2,PRCH_GR2,IDX_GR2,PCGR2_F,IMP_GR2,STAT_OM,LOCK_OM,PRCH_OM,IDX_OM,PCOM_F,IMP_OM,STAT_ADM,LOCK_ADM,IMP_ADM,NTRLDSTR
100654,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,2,1,8,-2,-2,.,-2,1,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,0
100663,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,2,1,8,-2,-2,.,-2,1,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,0
100690,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,2,1,8,-2,-2,.,-2,1,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,-2,-2,-2,0
100706,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,2,1,8,-2,-2,.,-2,1,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,0
100724,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,2,1,8,-2,-2,.,-2,1,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,0
100733,1,8,-2,-2,-2,-2,-2,.,-2,-2,-2,-2,-2,.,-2,-2,-2,-2,-2,.,-2,-2,-2,-2,-2,-2,.,-2,-2,-2,-2,-2,-2,.,-2,-2,-2,-2,-2,.,-2,-2,-2,-2,0
100751,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,2,1,8,-2,-2,.,-2,1,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,0
100760,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,1,8,-2,-2,.,-2,1,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,-2,-2,-2,0
100812,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,2,-2,-2,-2,-2,.,-2,2,-2,-2,-2,-2,.,-2,1,8,-2,-2,.,-2,-2,-2,-2,0
100830,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,2,1,8,-2,-2,.,-2,1,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,0
