UNITID,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW
100654,1,999,"R",6392,"R",2655,"R",3737,"R",15,"R",4,"R",11,"R",23,"R",14,"R",9,"R",5703,"R",2365,"R",3338,"R",43,"R",19,"R",24,"R",11,"R",5,"R",6,"R",288,"R",117,"R",171,"R",224,"R",82,"R",142,"R",14,"R",5,"R",9,"R",71,"R",44,"R",27
100654,2,  1,"R",5207,"R",2286,"R",2921,"R",11,"R",3,"R",8,"R",12,"R",6,"R",6,"R",4742,"R",2063,"R",2679,"R",36,"R",18,"R",18,"R",10,"R",5,"R",5,"R",137,"R",82,"R",55,"R",210,"R",82,"R",128,"R",11,"R",4,"R",7,"R",38,"R",23,"R",15
100654,4,  3,"R",1185,"R",369,"R",816,"R",4,"R",1,"R",3,"R",11,"R",8,"R",3,"R",961,"R",302,"R",659,"R",7,"R",1,"R",6,"R",1,"Z",0,"R",1,"R",151,"R",35,"R",116,"R",14,"R",0,"R",14,"R",3,"R",1,"R",2,"R",33,"R",21,"R",12
100663,1,999,"R",23196,"R",9031,"R",14165,"R",62,"R",26,"R",36,"R",1214,"R",522,"R",692,"R",5047,"R",1543,"R",3504,"R",718,"R",284,"R",434,"R",15,"R",7,"R",8,"R",13952,"R",5580,"R",8372,"R",791,"R",300,"R",491,"R",374,"R",156,"R",218,"R",1023,"R",613,"R",410
100663,2,  1,"R",13308,"R",5528,"R",7780,"R",36,"R",15,"R",21,"R",743,"R",326,"R",417,"R",3497,"R",1142,"R",2355,"R",429,"R",186,"R",243,"R",4,"R",1,"R",3,"R",7515,"R",3327,"R",4188,"R",522,"R",210,"R",312,"R",198,"R",89,"R",109,"R",364,"R",232,"R",132
100663,4,  3,"R",9888,"R",3503,"R",6385,"R",26,"R",11,"R",15,"R",471,"R",196,"R",275,"R",1550,"R",401,"R",1149,"R",289,"R",98,"R",191,"R",11,"R",6,"R",5,"R",6437,"R",2253,"R",4184,"R",269,"R",90,"R",179,"R",176,"R",67,"R",109,"R",659,"R",381,"R",278
100690,1,999,"R",868,"R",341,"R",527,"R",2,"R",1,"R",1,"R",3,"R",1,"R",2,"R",347,"R",87,"R",260,"R",87,"R",32,"R",55,"R",5,"Z",0,"R",5,"R",159,"R",96,"R",63,"Z",0,"Z",0,"Z",0,"R",265,"R",124,"R",141,"R",0,"R",0,"Z",0
100690,2,  1,"R",431,"R",177,"R",254,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"R",1,"R",195,"R",56,"R",139,"R",44,"R",19,"R",25,"R",1,"Z",0,"R",1,"R",66,"R",37,"R",29,"Z",0,"Z",0,"Z",0,"R",123,"R",64,"R",59,"R",0,"R",0,"Z",0
100690,4,  3,"R",437,"R",164,"R",273,"R",2,"R",1,"R",1,"R",1,"Z",0,"R",1,"R",152,"R",31,"R",121,"R",43,"R",13,"R",30,"R",4,"Z",0,"R",4,"R",93,"R",59,"R",34,"Z",0,"Z",0,"Z",0,"R",142,"R",60,"R",82,"R",0,"R",0,"Z",0
100706,1,999,"R",9897,"R",5555,"R",4342,"R",113,"R",69,"R",44,"R",375,"R",201,"R",174,"R",1015,"R",420,"R",595,"R",377,"R",197,"R",180,"R",3,"R",2,"R",1,"R",6573,"R",3847,"R",2726,"R",149,"R",69,"R",80,"R",710,"R",352,"R",358,"R",582,"R",398,"R",184
